id,compras,producto,cantidad
1,$2000,chicle,2
2,$3500,chocolate,1
3,1500,caramelo,3
4,1500,chicle,5
5,4000,galleta,1
6,$8000,chocolate,2
7,1000,bombon,4
8,7000,galleta,1
9,2500,chocolate,2
10,500,paleta,10
11,1800,chicle,1
12,3200,galleta,2
13,1200,gomitas,1
14,$9000,chocolate,1
15,1300,candy,3
16,7500,chocolate,1
17,1600,malvavisco,2
18,0,galleta,0
19,2800,chocolate,1
20,9500,caja dulces,1
21,12000,caja dulces,1
22,900,chicle,2
23,1300,bombon,1
24,1400,gomitas,2
25,15000,caja dulces,1
26,1600,gomitas,3
27,3000,chocolate,1
28,1350,candy,2
29,2000,chicle,1
30,4500,galleta,1
31,800,paleta,5
32,1500,galleta,2
33,1900,chocolate,1
34,1700,malvavisco,2
35,1200,chicle,3
36,1400,bombon,1
37,1600,gomitas,2
38,2100,chocolate,1
39,2400,chocolate,1
40,1300,candy,2
41,$2000,chicle,2
42,3500,chocolate,1
43,1500,caramelo,3
44,1500,chicle,5
45,4000,galleta,1
46,8000,chocolate,2
47,1000,bombon,4
48,7000,galleta,1
49,2500,chocolate,2
50,500,paleta,10
51,1800,chicle,1
52,3200,galleta,2
53,1200,gomitas,1
54,9000,chocolate,1
55,1300,candy,3
56,7500,chocolate,1
57,1600,malvavisco,2
58,900,galleta,1
59,2800,chocolate,1
60,9500,caja dulces,1
61,12000,caja dulces,1
62,900,chicle,2
63,1300,bombon,1
64,1400,gomitas,2
65,15000,caja dulces,1
66,1600,gomitas,3
67,3000,chocolate,1
68,1350,candy,2
69,2000,chicle,1
70,4500,galleta,1
71,800,paleta,5
72,1500,galleta,2
73,1900,chocolate,1
74,1700,malvavisco,2
75,1200,chicle,3
76,1400,bombon,1
77,1600,gomitas,2
78,2100,chocolate,1
79,2400,chocolate,1
80,1300,candy,2
81,$2000,chicle,2
82,3500,chocolate,1
83,1500,caramelo,3
84,1500,chicle,5
85,4000,galleta,1
86,8000,chocolate,2
87,1000,bombon,4
88,7000,galleta,1
89,2500,chocolate,2
90,500,paleta,10
91,,galleta,
92,$3200,galleta,2
93,1200,gomitas,1
94,9000,chocolate,1
95,1300,candy,3
96,7500,chocolate,1
97,1600,malvavisco,2
98,900,galleta,1
99,2800,chocolate,1
100,9500,caja dulces,1
