id,compras,producto,cantidad
1,$2000,chicle,2.0
2,$3500,chocolate,1.0
3,1500,caramelo,3.0
4,1500,chicle,5.0
5,4000,galleta,1.0
6,$8000,chocolate,2.0
7,1000,bombon,4.0
8,70000,galleta,10.0
9,2500,chocolate,2.0
10,500,paleta,10.0
11,1800,chicle,1.0
12,3200,galleta,2.0
13,1200,gomitas,1.0
14,$9000,chocolate,1.0
15,1300,candy,3.0
16,7500,chocolate,1.0
17,1600,malvavisco,2.0
18,0,galleta,0.0
19,2800,chocolate,1.0
20,9500,caja dulces,1.0
21,120000,caja dulces,10.0
22,900,chicle,2.0
23,1300,bombon,1.0
24,1400,gomitas,2.0
25,15000,caja dulces,1.0
26,1600,gomitas,3.0
27,3000,chocolate,1.0
28,1350,candy,2.0
29,2000,chicle,1.0
30,4500,galleta,1.0
31,800,paleta,5.0
32,1500,galleta,2.0
33,1900,chocolate,1.0
34,1700,malvavisco,2.0
35,1200,chicle,3.0
36,1400,bombon,1.0
37,1600,gomitas,2.0
38,2100,chocolate,1.0
39,24000,chocolate,10.0
40,1300,candy,2.0
41,$2000,chicle,2.0
42,3500,chocolate,1.0
43,1500,caramelo,3.0
44,1500,chicle,5.0
45,4000,galleta,1.0
46,8000,chocolate,2.0
47,1000,bombon,4.0
48,7000,galleta,1.0
49,2500,chocolate,2.0
50,500,paleta,10.0
51,1800,chicle,1.0
52,3200,galleta,2.0
53,1200,gomitas,1.0
54,9000,chocolate,1.0
55,1300,candy,3.0
56,7500,chocolate,1.0
57,1600,malvavisco,2.0
58,900,galleta,1.0
59,2800,chocolate,1.0
60,95000,caja dulces,10.0
61,12000,caja dulces,1.0
62,900,chicle,2.0
63,1300,bombon,1.0
64,1400,gomitas,2.0
65,15000,caja dulces,1.0
66,1600,gomitas,3.0
67,3000,chocolate,1.0
68,1350,candy,2.0
69,2000,chicle,1.0
70,4500,galleta,1.0
71,800,paleta,5.0
72,1500,galleta,2.0
73,1900,chocolate,1.0
74,1700,malvavisco,2.0
75,1200,chicle,3.0
76,1400,bombon,1.0
77,1600,gomitas,2.0
78,2100,chocolate,1.0
79,2400,chocolate,1.0
80,1300,candy,2.0
81,$2000,chicle,2.0
82,3500,chocolate,1.0
83,15000,caramelo,30.0
84,1500,chicle,5.0
85,4000,galleta,1.0
86,8000,chocolate,2.0
87,1000,bombon,4.0
88,7000,galleta,1.0
89,2500,chocolate,2.0
90,500,paleta,10.0
91,,galleta,
92,$3200,galleta,2.0
93,1200,gomitas,1.0
94,9000,chocolate,1.0
95,1300,candy,3.0
96,7500,chocolate,1.0
97,1600,malvavisco,2.0
98,900,galleta,1.0
99,28000,chocolate,10.0
100,9500,caja dulces,1.0
